Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
CENPA	GO:0007059	chromosome segregation	80/381	383/13095	0.2088772845953	7.17912871857075	21.2460030577307	1.56341034994254e-46	4.62144099443014e-43	4.11259206790148e-43	ESPL1/FBXO5/ZWILCH/MIS18A/HSPA1B/HAUS8/HASPIN/HJURP/ZWINT/BUB1/CDK1/CDC6/ECT2/GEN1/NUF2/OIP5/NEK2/NDC1/PLK1/SGO2/SGO1/SKA3/SKA1/SMC6/STIL/RCC1/TPX2/TUBB/ACTL6A/KIF15/KIF14/KIF11/KIF4A/KIF23/KIF2C/KIFC1/MKI67/RACGAP1/MYBL2/NCAPD2/NCAPG2/NCAPH/NCAPG/NDC80/NUP37/TRIP13/PSRC1/PTTG1/PPP1CC/MAD2L1/KIF18A/KIF18B/FAM83D/SPAG5/SPC25/AURKA/AURKB/TACC3/BCCIP/C9orf78/BIRC5/TUBG1/BUB1B/UBE2C/CCNB2/CCNB1/CCNE1/CDC20/CDCA8/CDCA2/CENPU/CENPO/CENPM/CENPL/CENPI/CENPE/DLGAP5/RAN/TTK/KNSTRN	80
CENPA	GO:0000280	nuclear division	72/381	370/13095	0.194594594594595	6.68823153862524	19.2135132890241	1.49963302711107e-39	1.47763840938011e-36	1.31494138061423e-36	ESPL1/FBXO5/ZWILCH/HSPA1B/HASPIN/ZWINT/RAD54L/ANLN/CKS2/BORA/BUB1/CDK1/EME1/GEN1/NUF2/NEK2/NDC1/PLK1/SGO1/SKA3/SKA1/RCC1/TPX2/KIF15/KIF14/KIF11/KIF4A/KIF23/KIF2C/KIFC1/MASTL/MKI67/RACGAP1/MYBL2/NCAPD2/NCAPG2/NCAPH/NCAPG/NDC80/TRIP13/RAD51AP1/PSRC1/PTTG1/PPP1CC/MAD2L1/KIF18A/KIF18B/RAD51/CDC25C/SPAG5/SPC25/AURKA/AURKB/BCCIP/C9orf78/BIRC5/TUBG1/BUB1B/UBE2C/CCNB2/CCNB1/CCNE1/CDC20/CDCA8/CDCA2/CENPI/CENPE/CHEK1/DLGAP5/RAN/TTK/KNSTRN	72
CENPA	GO:0090068	positive regulation of cell cycle process	47/381	229/13095	0.205240174672489	7.05412096413712	15.9994338200855	6.70444922519645e-27	2.42768075502124e-24	2.16037825183323e-24	ESPL1/FBXO5/DBF4/BUB1/CDK1/CDC6/EZH2/ECT2/GEN1/NPM1/MTA3/PLK4/SKA3/SKA1/SMC6/STIL/RRM2/KIF14/KIF23/RACGAP1/NCAPD2/NCAPG2/NCAPH/NCAPG/NDC80/RAD51AP1/POC1A/MAD2L1/RHNO1/FAM83D/CDC25C/CDC25A/SPAG5/AURKA/AURKB/TFDP1/BIRC5/UBE2C/CCNB1/CCNE1/CDC20/CDCA8/CHEK1/CPSF3/DLGAP5/CIT/DBF4B	47
CENPA	GO:0051983	regulation of chromosome segregation	36/381	124/13095	0.290322580645161	9.97840995681991	17.3892598412837	2.08113139105688e-26	5.12652032663678e-24	4.5620590756589e-24	ESPL1/FBXO5/ZWILCH/HASPIN/ZWINT/BUB1/CDK1/CDC6/GEN1/NUF2/PLK1/SKA3/SKA1/SMC6/ACTL6A/KIF2C/NCAPD2/NCAPG2/NCAPH/NCAPG/NDC80/TRIP13/MAD2L1/SPC25/AURKB/TACC3/C9orf78/BIRC5/BUB1B/UBE2C/CCNB1/CDC20/CDCA8/CENPE/DLGAP5/TTK	36
CENPA	GO:0050000	chromosome localization	27/381	113/13095	0.238938053097345	8.21231969897568	13.3291035316249	1.15377022199758e-17	7.25647824728689e-16	6.45749559859338e-16	ZWILCH/ZWINT/CDK1/ECT2/NUF2/NEK2/SGO1/SKA3/SKA1/KIF14/KIF2C/KIFC1/RACGAP1/NDC80/PSRC1/KIF18A/FAM83D/SPAG5/SPC25/AURKB/BIRC5/CCNB1/CDCA8/CENPE/DLGAP5/TTK/KNSTRN	27
CENPA	GO:0051052	regulation of DNA metabolic process	50/381	458/13095	0.109170305676856	3.7521920022006	10.3787972314972	3.9973489977469e-16	2.18817845135923e-14	1.94724661703109e-14	SUPT7L/FBXO5/FOXM1/NSMCE4A/HMGB1/DBF4/DKC1/CCT3/CCT4/CCT7/CCT8/CDK1/CDK2/CDC6/CGAS/FAF1/GMNN/H2AX/NEK2/PCNA/PLK1/SMC6/SMG5/RFC4/USP1/TAF5/ACTL6A/KPNA2/RAD51AP1/POLE3/DYNLL1/WRNIP1/RAD51/CDC25A/SSBP1/AUNIP/AURKB/TFDP1/TICRR/TIPIN/HNRNPC/HNRNPD/CCT6A/CCNA2/CEBPG/CHEK1/DBF4B/DSCC1/HNRNPA2B1/CHRAC1	50
CENPA	GO:0006261	DNA-templated DNA replication	27/381	158/13095	0.170886075949367	5.87336788597628	10.6683806764972	8.2898903943028e-14	4.01719934517362e-12	3.57488112085638e-12	FBXO5/GINS4/GINS1/DBF4/CDK1/CDK2/CDC6/EME1/GEN1/GMNN/ORC1/PCNA/RFC4/MCM10/MGME1/POLE3/POLE2/DYNLL1/WRNIP1/RAD51/SSBP1/TICRR/TIPIN/TRAIP/CCNE1/DBF4B/CHRAC1	27
CENPA	GO:0140694	membraneless organelle assembly	38/381	396/13095	0.095959595959596	3.29813886900501	8.03890047763312	8.82541280506055e-11	3.38804159113753e-09	3.01499748459963e-09	FBXO5/HSPA1B/HAUS8/ANLN/CDK2/NPM1/NEK2/PLK4/PLK1/SKA3/SKA1/STIL/RCC1/TPX2/TUBB/KIF15/KIF11/KIF4A/KIF23/KIFC1/CNTROB/MRTO4/RACGAP1/MYBL2/NDC80/SPAG5/AURKA/AURKB/BCCIP/BIRC5/BRIX1/CCNB2/CDC20/CDCA8/CENPE/DLGAP5/LSM14B/WDR62	38
CENPA	GO:0006403	RNA localization	23/381	185/13095	0.124324324324324	4.2730368163439	7.76124130115213	4.17435251491518e-09	1.37104289267659e-07	1.2200826824296e-07	DKC1/CCT3/CCT4/CCT7/CCT8/NDC1/SLBP/SMG5/EIF4A3/NUP210/NUP205/NUP107/NOP58/NUP37/PNPT1/SRSF7/SRSF1/SRSF3/ALYREF/CCT6A/CKAP5/RAN/HNRNPA2B1	23
CENPA	GO:0065004	protein-DNA complex assembly	22/381	195/13095	0.112820512820513	3.87764990914597	7.00838514261901	5.44944561490423e-08	1.62712739774312e-06	1.44797071681506e-06	MIS18A/HJURP/HMGB2/HMGB1/GMNN/H2AX/NPM1/OIP5/NASP/TAF5/MED30/GTF2A2/POLE3/RAD51/SSRP1/ASF1B/CENPO/CENPI/CENPE/DLGAP5/ANP32B/CHRAC1	22
