Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
CENPA	R-HSA-68886	M Phase	64/296	370/8877	0.172972972972973	5.18743608473338	15.2808104354844	3.76804619624836e-29	6.05525023737112e-26	6.05525023737112e-26	CKAP5/NEK2/SGO2/VRK1/CDC20/CDCA8/PLK4/LMNB1/KIF23/FBXO5/ZWINT/NDC1/PPP1CC/CENPE/KIF18A/BUB1B/NUP205/KIF20A/HAUS8/NDC80/CENPL/PTTG1/PSMA4/BUB1/H2AX/NCAPG/NUP210/KIF2C/UBE2C/PSMD14/SGO1/RAN/TUBG1/NCAPD2/NUP107/ERCC6L/SKA1/NCAPH/DYNLL1/PSMD2/ZWILCH/CENPU/MASTL/AURKB/RCC1/TUBB/NUP37/ODF2/SPC25/CENPO/NCAPG2/CENPI/TUBA1C/CCNB1/MAD2L1/PLK1/CCNB2/CDK1/RPS27A/CENPM/BIRC5/CDCA5/NUF2/ESPL1	64
CENPA	R-HSA-2555396	Mitotic Metaphase and Anaphase	49/296	214/8877	0.228971962616822	6.86683821672139	16.134755666023	4.61709634072967e-28	3.70983690977629e-25	3.70983690977629e-25	CKAP5/SGO2/VRK1/CDC20/CDCA8/LMNB1/FBXO5/ZWINT/NDC1/PPP1CC/CENPE/KIF18A/BUB1B/NUP205/NDC80/CENPL/PTTG1/PSMA4/BUB1/KIF2C/UBE2C/PSMD14/SGO1/RAN/NUP107/ERCC6L/SKA1/DYNLL1/PSMD2/ZWILCH/CENPU/AURKB/RCC1/NUP37/SPC25/CENPO/CENPI/TUBA1C/CCNB1/MAD2L1/PLK1/CCNB2/CDK1/RPS27A/CENPM/BIRC5/CDCA5/NUF2/ESPL1	49
CENPA	R-HSA-68882	Mitotic Anaphase	48/296	213/8877	0.225352112676056	6.75827940616673	15.798245754548	3.70298784256577e-27	1.98356715433439e-24	1.9835671543344e-24	CKAP5/SGO2/VRK1/CDC20/CDCA8/LMNB1/ZWINT/NDC1/PPP1CC/CENPE/KIF18A/BUB1B/NUP205/NDC80/CENPL/PTTG1/PSMA4/BUB1/KIF2C/UBE2C/PSMD14/SGO1/RAN/NUP107/ERCC6L/SKA1/DYNLL1/PSMD2/ZWILCH/CENPU/AURKB/RCC1/NUP37/SPC25/CENPO/CENPI/TUBA1C/CCNB1/MAD2L1/PLK1/CCNB2/CDK1/RPS27A/CENPM/BIRC5/CDCA5/NUF2/ESPL1	48
CENPA	R-HSA-69620	Cell Cycle Checkpoints	52/296	273/8877	0.19047619047619	5.71235521235521	14.6877304473974	1.09912678027083e-25	4.41574183973807e-23	4.41574183973807e-23	CKAP5/SGO2/CDC20/CDCA8/CHEK1/CDC25A/ZWINT/PPP1CC/CCNA2/CENPE/KIF18A/BUB1B/CDC25C/CCNE1/NDC80/CENPL/ORC1/CDC6/PSMA4/BUB1/H2AX/KIF2C/UBE2C/PSMD14/GTSE1/SGO1/DBF4/CDK2/NUP107/ERCC6L/SKA1/DYNLL1/PSMD2/ZWILCH/CENPU/AURKB/NUP37/SPC25/CENPO/CENPI/RFC4/CCNB1/MAD2L1/MCM10/PLK1/CCNB2/CDK1/RPS27A/CENPM/BIRC5/RHNO1/NUF2	52
CENPA	R-HSA-68877	Mitotic Prometaphase	44/296	194/8877	0.22680412371134	6.80182502089719	15.1745612314395	4.82663954308873e-25	1.55128194914872e-22	1.55128194914872e-22	CKAP5/NEK2/SGO2/CDC20/CDCA8/PLK4/ZWINT/PPP1CC/CENPE/KIF18A/BUB1B/HAUS8/NDC80/CENPL/BUB1/NCAPG/KIF2C/SGO1/TUBG1/NCAPD2/NUP107/ERCC6L/SKA1/NCAPH/DYNLL1/ZWILCH/CENPU/AURKB/TUBB/NUP37/ODF2/SPC25/CENPO/CENPI/TUBA1C/CCNB1/MAD2L1/PLK1/CCNB2/CDK1/CENPM/BIRC5/CDCA5/NUF2	44
CENPA	R-HSA-2500257	Resolution of Sister Chromatid Cohesion	35/296	118/8877	0.296610169491525	8.89529890059551	16.034959523894	2.70992567108626e-24	7.25808425572604e-22	7.25808425572604e-22	CKAP5/SGO2/CDC20/CDCA8/ZWINT/PPP1CC/CENPE/KIF18A/BUB1B/NDC80/CENPL/BUB1/KIF2C/SGO1/NUP107/ERCC6L/SKA1/DYNLL1/ZWILCH/CENPU/AURKB/NUP37/SPC25/CENPO/CENPI/TUBA1C/CCNB1/MAD2L1/PLK1/CCNB2/CDK1/CENPM/BIRC5/CDCA5/NUF2	35
CENPA	R-HSA-2467813	Separation of Sister Chromatids	39/296	169/8877	0.230769230769231	6.92073804573804	14.432632067065	1.48982719524159e-22	3.42021757536176e-20	3.42021757536176e-20	CKAP5/SGO2/CDC20/CDCA8/ZWINT/PPP1CC/CENPE/KIF18A/BUB1B/NDC80/CENPL/PTTG1/PSMA4/BUB1/KIF2C/UBE2C/PSMD14/SGO1/NUP107/ERCC6L/SKA1/DYNLL1/PSMD2/ZWILCH/CENPU/AURKB/NUP37/SPC25/CENPO/CENPI/TUBA1C/MAD2L1/PLK1/RPS27A/CENPM/BIRC5/CDCA5/NUF2/ESPL1	39
CENPA	R-HSA-141424	Amplification of signal from the kinetochores	30/296	92/8877	0.326086956521739	9.77930376028202	15.7205833584397	2.67747554521701e-22	4.78078133462637e-20	4.78078133462637e-20	CKAP5/SGO2/CDC20/CDCA8/ZWINT/PPP1CC/CENPE/KIF18A/BUB1B/NDC80/CENPL/BUB1/KIF2C/SGO1/NUP107/ERCC6L/SKA1/DYNLL1/ZWILCH/CENPU/AURKB/NUP37/SPC25/CENPO/CENPI/MAD2L1/PLK1/CENPM/BIRC5/NUF2	30
CENPA	R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	30/296	92/8877	0.326086956521739	9.77930376028202	15.7205833584397	2.67747554521701e-22	4.78078133462637e-20	4.78078133462637e-20	CKAP5/SGO2/CDC20/CDCA8/ZWINT/PPP1CC/CENPE/KIF18A/BUB1B/NDC80/CENPL/BUB1/KIF2C/SGO1/NUP107/ERCC6L/SKA1/DYNLL1/ZWILCH/CENPU/AURKB/NUP37/SPC25/CENPO/CENPI/MAD2L1/PLK1/CENPM/BIRC5/NUF2	30
CENPA	R-HSA-69618	Mitotic Spindle Checkpoint	31/296	109/8877	0.284403669724771	8.52922762211753	14.6892274841781	5.24050624842791e-21	7.65590321929423e-19	7.65590321929423e-19	CKAP5/SGO2/CDC20/CDCA8/ZWINT/PPP1CC/CENPE/KIF18A/BUB1B/NDC80/CENPL/BUB1/KIF2C/UBE2C/SGO1/NUP107/ERCC6L/SKA1/DYNLL1/ZWILCH/CENPU/AURKB/NUP37/SPC25/CENPO/CENPI/MAD2L1/PLK1/CENPM/BIRC5/NUF2	31
