PathID	source	Pathway
1	GO-BP	RNA localization
2	GO-BP	ribonucleoprotein complex biogenesis
3	GO-BP	chromosome segregation
4	GO-BP	protein localization to Cajal body
5	GO-BP	regulation of telomerase RNA localization to Cajal body
6	GO-BP	telomere organization
7	GO-BP	DNA replication
8	GO-BP	chromosome localization
9	GO-BP	heterochromatin formation
10	GO-BP	kinetochore assembly
11	GO-BP	mRNA catabolic process
12	GO-BP	membraneless organelle assembly
13	GO-BP	negative regulation of gene expression, epigenetic
14	GO-BP	nucleobase biosynthetic process
15	GO-BP	post-transcriptional regulation of gene expression
16	GO-BP	protein folding
17	GO-BP	protein-RNA complex organization
18	GO-BP	regulation of DNA metabolic process
19	GO-BP	signal transduction in response to DNA damage
20	GO-BP	cell cycle phase transition
21	GO-BP	mitochondrial gene expression
22	GO-BP	mitotic cytokinesis
23	GO-BP	nuclear division
24	GO-BP	nucleic acid catabolic process
25	GO-BP	positive regulation of chromosome organization
26	GO-BP	protein insertion into mitochondrial membrane
27	GO-BP	rRNA metabolic process
28	GO-BP	regulation of microtubule cytoskeleton organization
29	GO-BP	ribonucleoside monophosphate biosynthetic process
30	GO-BP	spindle localization
31	GO-BP	CENP-A containing chromatin assembly
32	GO-BP	DNA conformation change
33	GO-BP	GMP biosynthetic process
34	GO-BP	IMP metabolic process
35	GO-BP	NLS-bearing protein import into nucleus
36	GO-BP	RNA catabolic process
37	GO-BP	RNA export from nucleus
38	GO-BP	alternative mRNA splicing, via spliceosome
39	GO-BP	animal organ regeneration
40	GO-BP	attachment of spindle microtubules to kinetochore
41	GO-BP	cell cycle checkpoint signaling
42	GO-BP	cell surface receptor protein serine/threonine kinase signaling pathway
43	GO-BP	cellular respiration
44	GO-BP	cellular response to estradiol stimulus
45	GO-BP	cilium organization
46	GO-BP	establishment of spindle localization
47	GO-BP	establishment or maintenance of cell polarity
48	GO-BP	import into nucleus
49	GO-BP	iron-sulfur cluster assembly
50	GO-BP	liver development
51	GO-BP	mRNA processing
52	GO-BP	mRNA splicing, via spliceosome
53	GO-BP	macromolecule methylation
54	GO-BP	meiotic cell cycle
55	GO-BP	methylation
56	GO-BP	microtubule-based movement
57	GO-BP	mitochondrial translation
58	GO-BP	mitochondrion organization
59	GO-BP	mitotic cell cycle phase transition
60	GO-BP	mitotic nuclear division
61	GO-BP	mitotic sister chromatid segregation
62	GO-BP	mitotic spindle checkpoint signaling
63	GO-BP	negative regulation of plasma membrane bounded cell projection assembly
64	GO-BP	nuclear membrane disassembly
65	GO-BP	nuclear pore complex assembly
66	GO-BP	nucleocytoplasmic transport
67	GO-BP	positive regulation of cell cycle process
68	GO-BP	positive regulation of centriole replication
69	GO-BP	positive regulation of gluconeogenesis
70	GO-BP	positive regulation of mitotic sister chromatid separation
71	GO-BP	protein import into nucleus
72	GO-BP	protein insertion into membrane
73	GO-BP	protein localization to kinetochore
74	GO-BP	protein localization to nucleus
75	GO-BP	protein stabilization
76	GO-BP	protein-RNA complex assembly
77	GO-BP	rRNA processing
78	GO-BP	regulation of DNA replication
79	GO-BP	regulation of chromosome organization
80	GO-BP	regulation of chromosome segregation
81	GO-BP	regulation of circadian rhythm
82	GO-BP	regulation of cyclin-dependent protein serine/threonine kinase activity
83	GO-BP	regulation of metaphase plate congression
84	GO-BP	regulation of microtubule-based process
85	GO-BP	regulation of telomere maintenance
86	GO-BP	regulation of translation
87	GO-BP	regulation of ubiquitin-protein transferase activity
88	GO-BP	response to ionizing radiation
89	GO-BP	response to radiation
90	GO-BP	somatic diversification of immunoglobulins
91	GO-BP	spindle organization
92	GO-BP	telomere maintenance via telomere lengthening
93	GO-BP	transcription elongation-coupled chromatin remodeling
94	GO-BP	transcription initiation-coupled chromatin remodeling
95	GO-BP	tricarboxylic acid cycle
96	Reactome	Processing of Capped Intron-Containing Pre-mRNA
97	Reactome	mRNA 3'-end processing
98	Reactome	mRNA Splicing
99	Reactome	mRNA Splicing - Major Pathway
100	Reactome	Activation of the pre-replicative complex
101	Reactome	Cell Cycle Checkpoints
102	Reactome	DNA Replication
103	Reactome	DNA Replication Pre-Initiation
104	Reactome	G1/S Transition
105	Reactome	G2/M Checkpoints
106	Reactome	G2/M Transition
107	Reactome	M Phase
108	Reactome	Mitotic Anaphase
109	Reactome	Mitotic G1 phase and G1/S transition
110	Reactome	Mitotic G2-G2/M phases
111	Reactome	Mitotic Metaphase and Anaphase
112	Reactome	S Phase
113	Reactome	Separation of Sister Chromatids
114	Reactome	Switching of origins to a post-replicative state
115	Reactome	Synthesis of DNA
116	Reactome	mRNA Polyadenylation
117	Reactome	APC/C-mediated degradation of cell cycle proteins
118	Reactome	Activation of ATR in response to replication stress
119	Reactome	Assembly of the 9+0 primary cilium
120	Reactome	Association of TriC/CCT with target proteins during biosynthesis
121	Reactome	Chaperonin-mediated protein folding
122	Reactome	Chromosome Maintenance
123	Reactome	Cilium Assembly
124	Reactome	Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding
125	Reactome	Cyclin A:Cdk2-associated events at S phase entry
126	Reactome	Cyclin E associated events during G1/S transition
127	Reactome	DNA Damage Bypass
128	Reactome	DNA Double-Strand Break Repair
129	Reactome	DNA Repair
130	Reactome	Dengue Virus Infection
131	Reactome	Dengue Virus-Host Interactions
132	Reactome	Extension of Telomeres
133	Reactome	Folding of actin by CCT/TriC
134	Reactome	Formation of tubulin folding intermediates by CCT/TriC
135	Reactome	HDR through Homologous Recombination (HRR)
136	Reactome	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)
137	Reactome	Homology Directed Repair
138	Reactome	Nucleotide biosynthesis
139	Reactome	Orc1 removal from chromatin
140	Reactome	Prefoldin mediated transfer of substrate  to CCT/TriC
141	Reactome	Recognition of DNA damage by PCNA-containing replication complex
142	Reactome	Regulation of APC/C activators between G1/S and early anaphase
143	Reactome	Regulation of TP53 Activity
144	Reactome	Regulation of mitotic cell cycle
145	Reactome	The role of GTSE1 in G2/M progression after G2 checkpoint
146	Reactome	Transcriptional Regulation by TP53
147	Reactome	Transport of Mature Transcript to Cytoplasm
148	Reactome	APC-Cdc20 mediated degradation of Nek2A
149	Reactome	APC/C:Cdc20 mediated degradation of mitotic proteins
150	Reactome	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
151	Reactome	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
152	Reactome	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
153	Reactome	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
154	Reactome	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
155	Reactome	Amplification of signal from the kinetochores
156	Reactome	Anchoring of the basal body to the plasma membrane
157	Reactome	Cdc20:Phospho-APC/C mediated degradation of Cyclin A
158	Reactome	Centrosome maturation
159	Reactome	Condensation of Prometaphase Chromosomes
160	Reactome	Cyclin A/B1/B2 associated events during G2/M transition
161	Reactome	DNA strand elongation
162	Reactome	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)
163	Reactome	Dual incision in TC-NER
164	Reactome	EML4 and NUDC in mitotic spindle formation
165	Reactome	G0 and Early G1
166	Reactome	G1/S-Specific Transcription
167	Reactome	Gap-filling DNA repair synthesis and ligation in GG-NER
168	Reactome	Gap-filling DNA repair synthesis and ligation in TC-NER
169	Reactome	HIV Infection
170	Reactome	HIV Life Cycle
171	Reactome	Host Interactions of HIV factors
172	Reactome	Initiation of Nuclear Envelope (NE) Reformation
173	Reactome	Interactions of Rev with host cellular proteins
174	Reactome	Kinesins
175	Reactome	Lagging Strand Synthesis
176	Reactome	Late Phase of HIV Life Cycle
177	Reactome	Leading Strand Synthesis
178	Reactome	Metabolism of non-coding RNA
179	Reactome	Mitotic Prometaphase
180	Reactome	Mitotic Prophase
181	Reactome	Mitotic Spindle Checkpoint
182	Reactome	NS1 Mediated Effects on Host Pathways
183	Reactome	Nuclear Envelope (NE) Reassembly
184	Reactome	Nuclear Envelope Breakdown
185	Reactome	Nuclear import of Rev protein
186	Reactome	PCNA-Dependent Long Patch Base Excision Repair
187	Reactome	Polymerase switching
188	Reactome	Processing of DNA double-strand break ends
189	Reactome	Processive synthesis on the lagging strand
190	Reactome	RHO GTPase Effectors
191	Reactome	RHO GTPases Activate Formins
192	Reactome	Recruitment of NuMA to mitotic centrosomes
193	Reactome	Recruitment of mitotic centrosome proteins and complexes
194	Reactome	Regulation of TP53 Activity through Phosphorylation
195	Reactome	Removal of the Flap Intermediate
196	Reactome	Resolution of Sister Chromatid Cohesion
197	Reactome	SCF(Skp2)-mediated degradation of p27/p21
