source	Pathway	n_TMRs	TMRs	min_padj
Reactome	Processing of Capped Intron-Containing Pre-mRNA	6	CENPA, CHCHD3, E2F7, FOXM1, HMGA1, ZNF232	1.05589095210573e-05
Reactome	mRNA Splicing - Major Pathway	6	CENPA, CHCHD3, E2F7, FOXM1, HMGA1, ZNF232	1.19130460760214e-05
Reactome	mRNA Splicing	6	CENPA, CHCHD3, E2F7, FOXM1, HMGA1, ZNF232	2.24772964250268e-05
Reactome	mRNA 3'-end processing	6	CENPA, CHCHD3, E2F7, FOXM1, HMGA1, ZNF232	8.37341430930196e-05
Reactome	Cell Cycle Checkpoints	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	4.87168347812774e-28
Reactome	M Phase	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	6.05525023737112e-26
Reactome	Mitotic Metaphase and Anaphase	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	3.70983690977629e-25
Reactome	Mitotic Anaphase	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	1.98356715433439e-24
GO-BP	ribonucleoprotein complex biogenesis	5	CENPA, CHCHD3, FOXM1, HMGA1, ZNF232	3.06114343679696e-22
Reactome	Separation of Sister Chromatids	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	3.42021757536176e-20
Reactome	Mitotic G2-G2/M phases	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	1.06454588874738e-12
Reactome	G2/M Checkpoints	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	1.85141928069405e-12
Reactome	G2/M Transition	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	4.83332360668599e-12
Reactome	Mitotic G1 phase and G1/S transition	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	3.62376137397107e-11
Reactome	G1/S Transition	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	7.125324632177e-11
Reactome	S Phase	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	1.0888862566555e-08
Reactome	Activation of the pre-replicative complex	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	3.55357627603083e-08
GO-BP	RNA localization	5	CENPA, CHCHD3, FOXM1, HMGA1, ZNF232	2.11335852702151e-07
Reactome	DNA Replication	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	1.01377979947765e-06
Reactome	Synthesis of DNA	5	CENPA, CHCHD3, E2F7, FOXM1, HMGA1	2.47105341457301e-06
