Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
CENPA	R-HSA-68886	M Phase	63/295	369/8827	0.170731707317073	5.10863993385697	14.9914959505044	2.65253788643266e-28	2.62866504545477e-25	2.08852456742277e-25	ESPL1/FBXO5/RPS27A/ZWILCH/HAUS8/ZWINT/BUB1/CDK1/H2AX/NUF2/ODF2/NEK2/NDC1/PLK4/PLK1/SGO2/SGO1/SKA1/RCC1/TUBB/VRK1/KIF23/KIF2C/MASTL/NCAPD2/NCAPG2/NCAPH/NCAPG/NDC80/NUP210/NUP205/NUP107/NUP37/PSMD2/PSMA4/PTTG1/PPP1CC/DYNLL1/MAD2L1/KIF20A/KIF18A/TUBA1C/SPC25/PSMD14/AURKB/BIRC5/TUBG1/BUB1B/UBE2C/CCNB2/CCNB1/CDC20/CDCA5/CDCA8/CENPU/CENPO/CENPM/CENPL/CENPI/CENPE/CKAP5/RAN/ERCC6L	63
CENPA	R-HSA-2555396	Mitotic Metaphase and Anaphase	48/295	213/8827	0.225352112676056	6.74299355454762	15.7758672462038	4.03940571567478e-27	2.00152553211685e-24	1.59025025017091e-24	ESPL1/FBXO5/RPS27A/ZWILCH/ZWINT/BUB1/CDK1/NUF2/NDC1/PLK1/SGO2/SGO1/SKA1/RCC1/VRK1/KIF2C/NDC80/NUP205/NUP107/NUP37/PSMD2/PSMA4/PTTG1/PPP1CC/DYNLL1/MAD2L1/KIF18A/TUBA1C/SPC25/PSMD14/AURKB/BIRC5/BUB1B/UBE2C/CCNB2/CCNB1/CDC20/CDCA5/CDCA8/CENPU/CENPO/CENPM/CENPL/CENPI/CENPE/CKAP5/RAN/ERCC6L	48
CENPA	R-HSA-68882	Mitotic Anaphase	47/295	212/8827	0.221698113207547	6.6336584585865	15.4382599743088	3.17080922952739e-26	1.04742398215388e-23	8.32198352170697e-24	ESPL1/RPS27A/ZWILCH/ZWINT/BUB1/CDK1/NUF2/NDC1/PLK1/SGO2/SGO1/SKA1/RCC1/VRK1/KIF2C/NDC80/NUP205/NUP107/NUP37/PSMD2/PSMA4/PTTG1/PPP1CC/DYNLL1/MAD2L1/KIF18A/TUBA1C/SPC25/PSMD14/AURKB/BIRC5/BUB1B/UBE2C/CCNB2/CCNB1/CDC20/CDCA5/CDCA8/CENPU/CENPO/CENPM/CENPL/CENPI/CENPE/CKAP5/RAN/ERCC6L	47
CENPA	R-HSA-69620	Cell Cycle Checkpoints	52/295	273/8827	0.19047619047619	5.69943502824859	14.6659397456175	1.20398814785975e-25	2.98288063632253e-23	2.36995561736604e-23	RPS27A/ZWILCH/GTSE1/ZWINT/DBF4/BUB1/CDK1/CDK2/CDC6/H2AX/NUF2/ORC1/PLK1/SGO2/SGO1/SKA1/RFC4/KIF2C/MCM10/NDC80/NUP107/NUP37/PSMD2/PSMA4/PPP1CC/DYNLL1/MAD2L1/KIF18A/RHNO1/CDC25C/CDC25A/SPC25/PSMD14/AURKB/BIRC5/BUB1B/UBE2C/CCNA2/CCNB2/CCNB1/CCNE1/CDC20/CDCA8/CENPU/CENPO/CENPM/CENPL/CENPI/CENPE/CHEK1/CKAP5/ERCC6L	52
CENPA	R-HSA-68877	Mitotic Prometaphase	44/295	194/8827	0.22680412371134	6.7864406779661	15.1530147439297	5.23193364004827e-25	1.03696924745757e-22	8.23891865843391e-23	ZWILCH/HAUS8/ZWINT/BUB1/CDK1/NUF2/ODF2/NEK2/PLK4/PLK1/SGO2/SGO1/SKA1/TUBB/KIF2C/NCAPD2/NCAPH/NCAPG/NDC80/NUP107/NUP37/PPP1CC/DYNLL1/MAD2L1/KIF18A/TUBA1C/SPC25/AURKB/BIRC5/TUBG1/BUB1B/CCNB2/CCNB1/CDC20/CDCA5/CDCA8/CENPU/CENPO/CENPM/CENPL/CENPI/CENPE/CKAP5/ERCC6L	44
CENPA	R-HSA-2500257	Resolution of Sister Chromatid Cohesion	35/295	118/8827	0.296610169491525	8.87517954610744	16.0134485431048	2.89963980776414e-24	4.78923841582378e-22	3.80514136176769e-22	ZWILCH/ZWINT/BUB1/CDK1/NUF2/PLK1/SGO2/SGO1/SKA1/KIF2C/NDC80/NUP107/NUP37/PPP1CC/DYNLL1/MAD2L1/KIF18A/TUBA1C/SPC25/AURKB/BIRC5/BUB1B/CCNB2/CCNB1/CDC20/CDCA5/CDCA8/CENPU/CENPO/CENPM/CENPL/CENPI/CENPE/CKAP5/ERCC6L	35
CENPA	R-HSA-2467813	Separation of Sister Chromatids	39/295	169/8827	0.230769230769231	6.90508474576271	14.4121323739112	1.60193904712512e-22	2.26788799385856e-20	1.80188031165351e-20	ESPL1/RPS27A/ZWILCH/ZWINT/BUB1/NUF2/PLK1/SGO2/SGO1/SKA1/KIF2C/NDC80/NUP107/NUP37/PSMD2/PSMA4/PTTG1/PPP1CC/DYNLL1/MAD2L1/KIF18A/TUBA1C/SPC25/PSMD14/AURKB/BIRC5/BUB1B/UBE2C/CDC20/CDCA5/CDCA8/CENPU/CENPO/CENPM/CENPL/CENPI/CENPE/CKAP5/ERCC6L	39
CENPA	R-HSA-141424	Amplification of signal from the kinetochores	30/295	92/8827	0.326086956521739	9.75718496683862	15.6998147514826	2.8410306266671e-22	3.12829039003011e-20	2.48548644297894e-20	ZWILCH/ZWINT/BUB1/NUF2/PLK1/SGO2/SGO1/SKA1/KIF2C/NDC80/NUP107/NUP37/PPP1CC/DYNLL1/MAD2L1/KIF18A/SPC25/AURKB/BIRC5/BUB1B/CDC20/CDCA8/CENPU/CENPO/CENPM/CENPL/CENPI/CENPE/CKAP5/ERCC6L	30
CENPA	R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	30/295	92/8827	0.326086956521739	9.75718496683862	15.6998147514826	2.8410306266671e-22	3.12829039003011e-20	2.48548644297894e-20	ZWILCH/ZWINT/BUB1/NUF2/PLK1/SGO2/SGO1/SKA1/KIF2C/NDC80/NUP107/NUP37/PPP1CC/DYNLL1/MAD2L1/KIF18A/SPC25/AURKB/BIRC5/BUB1B/CDC20/CDCA8/CENPU/CENPO/CENPM/CENPL/CENPI/CENPE/CKAP5/ERCC6L	30
CENPA	R-HSA-69618	Mitotic Spindle Checkpoint	31/295	109/8827	0.284403669724771	8.50993624630695	14.6692737417212	5.56623435378602e-21	5.01467113145632e-19	3.98425195849947e-19	ZWILCH/ZWINT/BUB1/NUF2/PLK1/SGO2/SGO1/SKA1/KIF2C/NDC80/NUP107/NUP37/PPP1CC/DYNLL1/MAD2L1/KIF18A/SPC25/AURKB/BIRC5/BUB1B/UBE2C/CDC20/CDCA8/CENPU/CENPO/CENPM/CENPL/CENPI/CENPE/CKAP5/ERCC6L	31
