TMR	Cohort	Cluster	mean_NES	n
CENPA	TCGA	C1	-0.567312971441685	61
CENPA	TCGA	C2	0.258254412372708	134
CENPA	METABRIC	C1	-0.9482937339778	79
CENPA	METABRIC	C2	0.576270807571124	130
CHCHD3	TCGA	C1	-0.536907643327985	61
CHCHD3	TCGA	C2	0.244413180917963	134
CHCHD3	METABRIC	C1	-0.815520116231408	79
CHCHD3	METABRIC	C2	0.495585301402163	130
E2F7	TCGA	C1	0.24511627889457	61
E2F7	TCGA	C2	-0.111582783675886	134
E2F7	METABRIC	C1	-0.790320308615152	79
E2F7	METABRIC	C2	0.480271572158439	130
FOXM1	TCGA	C1	-0.272776643019257	61
FOXM1	TCGA	C2	0.124174441971453	134
FOXM1	METABRIC	C1	-0.960480885577755	79
FOXM1	METABRIC	C2	0.583676845851097	130
HMGA1	TCGA	C1	-0.826630140052337	61
HMGA1	TCGA	C2	0.376301780173078	134
HMGA1	METABRIC	C1	-0.986409196839053	79
HMGA1	METABRIC	C2	0.59943328115604	130
VEZF1	TCGA	C1	0.962969357899992	61
VEZF1	TCGA	C2	-0.43836664799925	134
VEZF1	METABRIC	C1	1.04068419649503	79
VEZF1	METABRIC	C2	-0.632415780946979	130
ZNF232	TCGA	C1	-0.574286654639204	61
ZNF232	TCGA	C2	0.261428999499936	134
ZNF232	METABRIC	C1	-0.847139185496564	79
ZNF232	METABRIC	C2	0.514799966570989	130
