sample_id	cluster	cohort
TCGA-AR-A24Q-01A	C1	TCGA
TCGA-AO-A124-01A	C1	TCGA
TCGA-B6-A0WX-01A	C2	TCGA
TCGA-A1-A0SP-01A	C2	TCGA
TCGA-B6-A0RT-01A	C2	TCGA
TCGA-BH-A18T-01A	C2	TCGA
TCGA-A7-A26G-01A	C1	TCGA
TCGA-E2-A574-01A	C2	TCGA
TCGA-EW-A1P8-01A	C2	TCGA
TCGA-BH-A0BL-01A	C1	TCGA
TCGA-BH-A18G-01A	C2	TCGA
TCGA-A8-A07U-01A	C2	TCGA
TCGA-A2-A0D2-01A	C2	TCGA
TCGA-E2-A14N-01A	C2	TCGA
TCGA-A1-A0SO-01A	C1	TCGA
TCGA-B6-A0RU-01A	C1	TCGA
TCGA-AR-A2LR-01A	C1	TCGA
TCGA-D8-A143-01A	C2	TCGA
TCGA-E2-A1LI-01A	C2	TCGA
TCGA-E9-A22G-01A	C2	TCGA
TCGA-AO-A128-01A	C1	TCGA
TCGA-GM-A2DF-01A	C2	TCGA
TCGA-A2-A3XT-01A	C2	TCGA
TCGA-A7-A26F-01B	C1	TCGA
TCGA-C8-A131-01A	C2	TCGA
TCGA-A7-A0CE-01A	C2	TCGA
TCGA-PL-A8LV-01A	C2	TCGA
TCGA-AR-A0U0-01A	C2	TCGA
TCGA-A2-A0YM-01A	C2	TCGA
TCGA-A7-A6VV-01A	C1	TCGA
TCGA-A2-A3XX-01A	C2	TCGA
TCGA-A8-A07R-01A	C2	TCGA
TCGA-AC-A2BK-01A	C2	TCGA
TCGA-B6-A402-01A	C2	TCGA
TCGA-A2-A0YJ-01A	C2	TCGA
TCGA-OL-A5S0-01A	C2	TCGA
TCGA-AR-A251-01A	C1	TCGA
TCGA-D8-A142-01A	C1	TCGA
TCGA-A2-A04P-01A	C2	TCGA
TCGA-E2-A1LS-01A	C2	TCGA
TCGA-B6-A3ZX-01A	C1	TCGA
TCGA-AN-A0G0-01A	C1	TCGA
TCGA-A8-A08R-01A	C1	TCGA
TCGA-BH-A1FC-01A	C2	TCGA
TCGA-AQ-A04J-01A	C1	TCGA
TCGA-A7-A6VW-01A	C2	TCGA
TCGA-D8-A147-01A	C1	TCGA
TCGA-S3-AA15-01A	C2	TCGA
TCGA-A2-A0YE-01A	C2	TCGA
TCGA-A2-A0D0-01A	C2	TCGA
TCGA-BH-A0B9-01A	C2	TCGA
TCGA-B6-A0I1-01A	C2	TCGA
TCGA-A7-A13E-01A	C2	TCGA
