tf	target	mi
CHCHD3	MDH2	0.36632858006115093
CHCHD3	MCM3	0.41911389986451586
CHCHD3	MSH2	0.4676044702515864
CHCHD3	MSH6	0.5065372867392055
FOXM1	TICRR	0.4370581615284841
CHCHD3	NOL7	0.37194376689436476
FOXM1	DNAJA3	0.4576579974314085
CHCHD3	PFKP	0.33678702614046246
CHCHD3	PPIF	0.34315078230470686
CHCHD3	PLK1	0.435257853334536
E2F7	HELLS	0.4528711226176315
FOXM1	TOP2A	0.5330667123673494
ZNF232	VPS72	0.41132875706346567
CHCHD3	TPX2	0.4002875248882246
VEZF1	FANCI	0.5362527360791187
HMGA1	RRP12	0.3546909504694708
HMGA1	RRP15	0.36743381170405676
CHCHD3	LSM12	0.4269134881862624
CHCHD3	XPO5	0.4316087987124239
FOXM1	C1QBP	0.3646784917550046
FOXM1	BUB1B	0.5159579418658853
CHCHD3	MAGOH	0.3712658468151853
HMGA1	ABCF1	0.4216920753589491
ZNF232	NVL	0.43193611880147614
HMGA1	SHMT2	0.361630047075761
CHCHD3	GPI	0.28258030802407763
ZNF232	EHMT2	0.41716710481092867
CHCHD3	NCL	0.4402772877670691
CHCHD3	RAN	0.391137027881448
CHCHD3	SET	0.4481648964471535
CHCHD3	PBK	0.3817528547595935
CHCHD3	PHB	0.3961747260065272
FOXM1	CHERP	0.58414771735711
FOXM1	CKAP5	0.5036463941323199
HMGA1	AHSA1	0.3657240933445204
HMGA1	SNRPE	0.3511224094182606
HMGA1	ZNF639	0.3667016020977259
FOXM1	USP13	0.432136115927845
HMGA1	SSRP1	0.44504856274166227
HMGA1	STMN1	0.3389678800113069
HMGA1	STIP1	0.3977541996043272
VEZF1	YLPM1	0.620469878845901
HMGA1	AURKB	0.3926874312349103
HMGA1	AURKA	0.3677253299806971
CHCHD3	NAT10	0.4013857568980259
HMGA1	CACYBP	0.3251545900551723
CENPA	GTSE1	0.4044383753774727
CHCHD3	NOL11	0.4508830751560814
CHCHD3	NOP56	0.3473083703963591
CENPA	CKAP2L	0.4385083132582041
CENPA	SERBP1	0.4081014034147474
HMGA1	TRAP1	0.35693375113920034
E2F7	CKAP2L	0.48738286317095003
FOXM1	DNMT1	0.5986633324056638
FOXM1	CKAP2L	0.5216782200790617
HMGA1	C1QBP	0.34394156819029914
HMGA1	SNRPA1	0.3480881284356697
FOXM1	WBP11	0.6381407423650405
CENPA	HMGB3	0.38237143633116655
CENPA	HMGB2	0.38265495864810034
HMGA1	UBE2T	0.35985680937139497
FOXM1	WDHD1	0.4876921374000233
CENPA	HSPE1	0.28417580524422686
CENPA	HSPD1	0.39148044148294975
CHCHD3	EIF2S2	0.38276974115314144
HMGA1	TTLL12	0.39633633582881683
E2F7	KIFC1	0.41402581723309323
E2F7	KIF23	0.4929830514995497
E2F7	KIF4A	0.461335664280753
CENPA	ANLN	0.3483235142593973
CHCHD3	GTF3C2	0.4070576975479806
CENPA	CKS2	0.4879697090459936
HMGA1	WRNIP1	0.33915398593324936
CENPA	CYCS	0.3280666336179968
CENPA	DKC1	0.4728259560289386
HMGA1	UTP18	0.3952519845646801
CENPA	CBX3	0.3991113328563875
CENPA	CCT3	0.37489420601529583
CENPA	CCT4	0.3992061758633046
CENPA	CCT8	0.3690258464436059
CENPA	CDK2	0.4300172558993405
CENPA	ECT2	0.41831751994400784
HMGA1	MAPK13	0.3580337520500187
CENPA	HDGF	0.37046347060868506
CENPA	GMNN	0.42026854589229296
E2F7	KPNA4	0.4593907575117498
CENPA	GPN1	0.4601300672712328
E2F7	BLM	0.48335149384998766
E2F7	DEK	0.5446824999037926
CENPA	LYAR	0.33412413939039803
CENPA	NPM1	0.34955655250308987
CHCHD3	PAICS	0.35334258213747277
CENPA	NASP	0.3677232321986971
