gene	category	n_tmrs	tmrs
BTF3	Concordant down	1	HMGA1
DKC1	Concordant up	5	CENPA,CHCHD3,FOXM1,HMGA1,ZNF232
KIF4A	Concordant up	4	CENPA,CHCHD3,E2F7,FOXM1
KIFC1	Concordant up	4	CENPA,E2F7,FOXM1,HMGA1
MSH6	Concordant up	4	CHCHD3,E2F7,FOXM1,ZNF232
PLK1	Concordant up	4	CENPA,CHCHD3,FOXM1,HMGA1
AURKA	Concordant up	3	CENPA,FOXM1,HMGA1
AURKB	Concordant up	3	CENPA,HMGA1,ZNF232
CCT3	Concordant up	3	CENPA,HMGA1,ZNF232
CDK2	Concordant up	3	CENPA,E2F7,FOXM1
CKAP2L	Concordant up	3	CENPA,E2F7,FOXM1
CKAP5	Concordant up	3	CENPA,CHCHD3,FOXM1
CKS2	Concordant up	3	CENPA,CHCHD3,FOXM1
CPSF3	Concordant up	3	CENPA,CHCHD3,ZNF232
DNMT1	Concordant up	3	CHCHD3,E2F7,FOXM1
FANCI	Concordant up	3	E2F7,FOXM1,VEZF1
GMNN	Concordant up	3	CENPA,E2F7,HMGA1
GPN1	Concordant up	3	CENPA,CHCHD3,HMGA1
GTSE1	Concordant up	3	CENPA,E2F7,FOXM1
HDGF	Concordant up	3	CENPA,FOXM1,HMGA1
KIF23	Concordant up	3	CENPA,E2F7,FOXM1
KPNA2	Concordant up	3	CENPA,CHCHD3,FOXM1
MKI67	Concordant up	3	CENPA,E2F7,FOXM1
NCAPG	Concordant up	3	CENPA,E2F7,FOXM1
NOLC1	Concordant up	3	CENPA,FOXM1,HMGA1
NOP58	Concordant up	3	CENPA,FOXM1,HMGA1
PBK	Concordant up	3	CENPA,CHCHD3,FOXM1
STMN1	Concordant up	3	E2F7,HMGA1,ZNF232
TPX2	Concordant up	3	CENPA,CHCHD3,FOXM1
BLM	Concordant up	2	E2F7,FOXM1
CDCA2	Concordant up	2	CENPA,CHCHD3
DCUN1D5	Concordant up	2	CENPA,HMGA1
ECT2	Concordant up	2	CENPA,FOXM1
FEN1	Concordant up	2	FOXM1,HMGA1
FH	Concordant up	2	HMGA1,ZNF232
HMGB2	Concordant up	2	CENPA,FOXM1
HMGB3	Concordant up	2	CENPA,HMGA1
INCENP	Concordant up	2	E2F7,FOXM1
KIF2C	Concordant up	2	CENPA,FOXM1
MCM3	Concordant up	2	CHCHD3,HMGA1
MTHFD2	Concordant up	2	CENPA,CHCHD3
NDUFAF4	Concordant up	2	CHCHD3,ZNF232
PAK1IP1	Concordant up	2	CHCHD3,HMGA1
PARP1	Concordant up	2	FOXM1,ZNF232
PCNA	Concordant up	2	CENPA,HMGA1
RACGAP1	Concordant up	2	CENPA,FOXM1
RAD51AP1	Concordant up	2	CENPA,FOXM1
RBM28	Concordant up	2	CENPA,CHCHD3
RCC1	Concordant up	2	CENPA,HMGA1
TICRR	Concordant up	2	CENPA,FOXM1
TIMELESS	Concordant up	2	FOXM1,HMGA1
TOP2A	Concordant up	2	E2F7,FOXM1
UBE2T	Concordant up	2	CENPA,HMGA1
USP1	Concordant up	2	CENPA,E2F7
VPS72	Concordant up	2	HMGA1,ZNF232
VRK1	Concordant up	2	CENPA,FOXM1
XPO5	Concordant up	2	CHCHD3,HMGA1
ALYREF	Concordant up	1	CENPA
ANLN	Concordant up	1	CENPA
BRIX1	Concordant up	1	CENPA
CACYBP	Concordant up	1	HMGA1
CALU	Concordant up	1	CHCHD3
CCDC86	Concordant up	1	HMGA1
CHAF1B	Concordant up	1	E2F7
CMAS	Concordant up	1	HMGA1
CSRP2	Concordant up	1	E2F7
CSTF3	Concordant up	1	CHCHD3
CYCS	Concordant up	1	CENPA
DEK	Concordant up	1	E2F7
DSP	Concordant up	1	CENPA
GAPDH	Concordant up	1	FOXM1
GATAD2A	Concordant up	1	ZNF232
GPI	Concordant up	1	CHCHD3
HDAC2	Concordant up	1	ZNF232
HELLS	Concordant up	1	E2F7
KDM2B	Concordant up	1	FOXM1
KIF20B	Concordant up	1	FOXM1
LMNB2	Concordant up	1	FOXM1
LYAR	Concordant up	1	CENPA
MAGOH	Concordant up	1	CHCHD3
MASTL	Concordant up	1	CENPA
NUP153	Concordant up	1	E2F7
PDCD5	Concordant up	1	CENPA
PFKP	Concordant up	1	CHCHD3
POLD1	Concordant up	1	FOXM1
PPM1G	Concordant up	1	CENPA
PPP1R14C	Concordant up	1	HMGA1
PUF60	Concordant up	1	HMGA1
RANBP1	Concordant up	1	CHCHD3
RCC2	Concordant up	1	FOXM1
RCOR2	Concordant up	1	HMGA1
RRP1B	Concordant up	1	CENPA
RTKN	Concordant up	1	HMGA1
SCNM1	Concordant up	1	ZNF232
SHMT2	Concordant up	1	HMGA1
SMC4	Concordant up	1	E2F7
SNRPA1	Concordant up	1	HMGA1
SRSF12	Concordant up	1	CHCHD3
SYNCRIP	Concordant up	1	CHCHD3
TEX10	Concordant up	1	CENPA
UHRF1	Concordant up	1	E2F7
USP13	Concordant up	1	FOXM1
WDR43	Concordant up	1	CENPA
YEATS2	Concordant up	1	VEZF1
KPNA4	METABRIC only up	1	E2F7
PDHA1	METABRIC only up	1	CHCHD3
UBE2E3	METABRIC only up	1	HMGA1
PTPN11	TCGA only down	2	E2F7,VEZF1
CEP290	TCGA only down	1	VEZF1
EEF1A1	TCGA only down	1	CHCHD3
FKBP5	TCGA only down	1	FOXM1
SLC25A4	TCGA only down	1	CHCHD3
