tf	gene	mi	pvalue	category
CHCHD3	MDH2	0.36632858006115093	0.0	TCGA only up
CHCHD3	MCM3	0.41911389986451586	0.001526822204491296	Concordant up
CHCHD3	MSH2	0.4676044702515864	7.471405856662727E-6	TCGA only up
CHCHD3	MSH6	0.5065372867392055	0.0	Concordant up
FOXM1	TICRR	0.4370581615284841	0.0	Concordant up
CHCHD3	NOL7	0.37194376689436476	0.0	TCGA only up
FOXM1	DNAJA3	0.4576579974314085	0.0	TCGA only up
CHCHD3	PFKP	0.33678702614046246	4.734947474105411E-7	Concordant up
CHCHD3	PPIF	0.34315078230470686	0.019601786741922922	TCGA only up
CHCHD3	PLK1	0.435257853334536	0.001526822204491296	Concordant up
E2F7	HELLS	0.4528711226176315	0.0	Concordant up
FOXM1	TOP2A	0.5330667123673494	0.0	Concordant up
ZNF232	VPS72	0.41132875706346567	0.0	Concordant up
CHCHD3	TPX2	0.4002875248882246	7.471405856662727E-6	Concordant up
VEZF1	FANCI	0.5362527360791187	0.019601786741922922	Concordant up
HMGA1	RRP12	0.3546909504694708	0.019601786741922922	TCGA only up
HMGA1	RRP15	0.36743381170405676	1.1052263205435509E-4	TCGA only up
CHCHD3	LSM12	0.4269134881862624	2.132859222570005E-9	TCGA only up
CHCHD3	XPO5	0.4316087987124239	0.0	Concordant up
FOXM1	C1QBP	0.3646784917550046	0.001526822204491296	TCGA only up
FOXM1	BUB1B	0.5159579418658853	0.0	TCGA only up
CHCHD3	MAGOH	0.3712658468151853	4.734947474105411E-7	Concordant up
HMGA1	ABCF1	0.4216920753589491	0.0	TCGA only up
ZNF232	NVL	0.43193611880147614	4.734947474105411E-7	TCGA only up
HMGA1	SHMT2	0.361630047075761	0.0	Concordant up
CHCHD3	GPI	0.28258030802407763	7.471405856662727E-6	Concordant up
ZNF232	EHMT2	0.41716710481092867	1.1052263205435509E-4	TCGA only up
CHCHD3	NCL	0.4402772877670691	1.1052263205435509E-4	TCGA only up
CHCHD3	RAN	0.391137027881448	2.132859222570005E-9	TCGA only up
CHCHD3	SET	0.4481648964471535	0.0	TCGA only up
CHCHD3	PBK	0.3817528547595935	0.0	Concordant up
CHCHD3	PHB	0.3961747260065272	0.0	TCGA only up
FOXM1	CHERP	0.58414771735711	0.0	TCGA only up
FOXM1	CKAP5	0.5036463941323199	0.0	Concordant up
HMGA1	AHSA1	0.3657240933445204	0.0	TCGA only up
HMGA1	SNRPE	0.3511224094182606	4.734947474105411E-7	TCGA only up
HMGA1	ZNF639	0.3667016020977259	1.1052263205435509E-4	TCGA only up
FOXM1	USP13	0.432136115927845	0.001526822204491296	Concordant up
HMGA1	SSRP1	0.44504856274166227	0.0	TCGA only up
HMGA1	STMN1	0.3389678800113069	4.734947474105411E-7	Concordant up
HMGA1	STIP1	0.3977541996043272	0.0	TCGA only up
VEZF1	YLPM1	0.620469878845901	0.019601786741922922	TCGA only down
HMGA1	AURKB	0.3926874312349103	0.0	Concordant up
HMGA1	AURKA	0.3677253299806971	1.1052263205435509E-4	Concordant up
CHCHD3	NAT10	0.4013857568980259	2.7727169893410064E-8	TCGA only up
HMGA1	CACYBP	0.3251545900551723	0.019601786741922922	Concordant up
CENPA	GTSE1	0.4044383753774727	0.0	Concordant up
CHCHD3	NOL11	0.4508830751560814	4.734947474105411E-7	TCGA only up
CHCHD3	NOP56	0.3473083703963591	0.0	TCGA only up
CENPA	CKAP2L	0.4385083132582041	0.0	Concordant up
CENPA	SERBP1	0.4081014034147474	0.0	TCGA only up
HMGA1	TRAP1	0.35693375113920034	1.1052263205435509E-4	TCGA only up
E2F7	CKAP2L	0.48738286317095003	0.0	Concordant up
FOXM1	DNMT1	0.5986633324056638	0.0	Concordant up
FOXM1	CKAP2L	0.5216782200790617	0.0	Concordant up
HMGA1	C1QBP	0.34394156819029914	2.132859222570005E-9	TCGA only up
HMGA1	SNRPA1	0.3480881284356697	0.0	Concordant up
FOXM1	WBP11	0.6381407423650405	0.0	TCGA only up
CENPA	HMGB3	0.38237143633116655	0.0	Concordant up
CENPA	HMGB2	0.38265495864810034	0.0	Concordant up
