gene	logFC	AveExpr	t	P.Value	adj.P.Val	is_kbhb
KIF2C	1.56444561692933	7.24091084116501	25.8883830723421	3.99557234994069e-84	1.59503248209632e-80	TRUE
AURKB	1.73190961188199	7.45148638313437	25.493636172533	1.43176376142316e-82	2.85780046780063e-79	TRUE
TPX2	1.60495344988314	7.24741737487453	23.833088657364	5.86838117382506e-76	5.01998092412349e-73	TRUE
NCAPG	1.47023870450459	7.40169647048384	22.8028823524902	8.42529426886265e-72	4.20422184016246e-69	TRUE
ANLN	1.24893398459184	6.6062654854341	22.671899190434	2.86269309405192e-71	1.26976342571725e-68	TRUE
GTSE1	1.04787030888037	6.57408576515598	22.3680901071329	4.90866016583862e-70	1.95953713820278e-67	TRUE
CKAP2L	1.22471354128146	6.85542631446212	22.3246411718954	7.37401302680925e-70	2.75972437528336e-67	TRUE
KIF4A	1.0316868776886	6.45672035542342	22.0535386167818	9.37050385750913e-69	2.95318826835603e-66	TRUE
KIFC1	1.43309251127728	7.26347604587948	21.7083685317868	2.40148678796215e-67	7.19005144315866e-65	TRUE
AURKA	1.47861230577975	7.81269399641957	20.8402063971668	8.64501573286514e-64	2.03005310621163e-61	TRUE
LMNB2	1.04804748499626	9.1499695644177	20.4064125185283	5.24294799584275e-62	1.02933680652808e-59	TRUE
KIF23	1.07989129343904	6.72721343543406	20.1941935275828	3.91638194838926e-61	7.21578310983227e-59	TRUE
UBE2T	1.39492833709251	7.77297128848686	19.7884703743692	1.83721067507543e-59	3.09893451333851e-57	TRUE
RAD51AP1	1.44417747577988	7.31037303069101	19.7648037890881	2.2998781783861e-59	3.77306041977423e-57	TRUE
PLK1	0.716776239779267	6.68234082653274	19.5942266038055	1.161241108592e-58	1.80610695019453e-56	TRUE
FEN1	1.12410024613265	9.05177862748997	19.4500681984535	4.56470108716552e-58	6.91985572403725e-56	TRUE
RACGAP1	1.07400858575008	8.03222920565084	19.3208462307234	1.55748616336209e-57	2.24728364968968e-55	TRUE
