gene	log2FoldChange	lfcSE	stat	pvalue	padj	is_kbhb
ANLN	4.51284767400179	0.112282870626176	40.191773231613	0	0	TRUE
AURKA	3.83979823537284	0.0835828818908141	45.9400076727295	0	0	TRUE
AURKB	4.67944343982188	0.115228902151345	40.6099802432879	0	0	TRUE
GTSE1	4.08950458048039	0.102799439366824	39.7813899148578	0	0	TRUE
KIF2C	4.5392911397663	0.0997964155145781	45.4855128449299	0	0	TRUE
KIF4A	4.69256944032176	0.109422013619026	42.8850583636659	0	0	TRUE
KIFC1	4.21827234398778	0.0986873562120623	42.7437972390651	0	0	TRUE
NCAPH	3.65404115106379	0.0926659805495275	39.4323907154989	0	0	TRUE
PLK1	4.49454701145898	0.0990468009850771	45.3780128864148	0	0	TRUE
TPX2	4.6204587622931	0.0972782849433034	47.4973295940203	0	0	TRUE
UBE2T	3.96339213405662	0.0993651561501776	39.8871424110325	0	0	TRUE
KIF23	3.50821898541485	0.0917126040097822	38.2523102826811	3.80726986685265e-320	1.30613170397175e-317	TRUE
CKAP2L	4.198658113247	0.11019985147412	38.1003972063703	1.26192369811317e-317	4.24083623069525e-315	TRUE
KPNA2	2.79806849774114	0.073821648927729	37.903088570677	2.28905435798953e-314	7.24881886788761e-312	TRUE
MYBL2	4.9359459629207	0.130660958627154	37.7767468935048	2.73754483966502e-312	8.50550016504979e-310	TRUE
NCAPG	3.93505448080341	0.105171743651931	37.4155105179826	2.18635341695796e-306	6.42905030661548e-304	TRUE
CBX2	3.88686777265828	0.104644634277884	37.1434980826315	5.58268346308864e-302	1.50704997683083e-299	TRUE
CDCA2	4.41546714983018	0.119592692559493	36.9208774828248	2.13712160322752e-298	5.41415099082269e-296	TRUE
HMGB3	2.91274506690301	0.0790851565932205	36.8304899727885	6.00398592221696e-297	1.49799448759313e-294	TRUE
CKS2	3.45448515735997	0.0966606997702998	35.7382593501708	1.00687922929515e-279	2.18161582484253e-277	TRUE
PBK	4.1961869486213	0.121419877216716	34.559308119969	1.03305103771357e-261	1.80970759979035e-259	TRUE
TICRR	3.25226966961681	0.0945225253894354	34.4073505888398	1.95765499475217e-259	3.32337162872e-257	TRUE
BUB1B	3.70118683797214	0.108529634837291	34.1030064601342	6.65680081385159e-255	1.0853221683336e-252	TRUE
UBE2S	3.37819610223261	0.10038062651605	33.6538654866082	2.73729907304797e-248	4.299272497553e-246	TRUE
STMN1	2.87765357166248	0.0860930261138968	33.4249323267542	5.95547359508873e-245	8.99713611837855e-243	TRUE
RACGAP1	2.3274424180331	0.0696652135862176	33.4089612049012	1.01603606647348e-244	1.52100599151079e-242	TRUE
RAD51AP1	3.3924860269996	0.10529092873686	32.2201168486033	9.22662218056641e-228	1.24536711022448e-225	TRUE
MKI67	4.01513358679863	0.125454082596883	32.0048060906898	9.34824046438513e-225	1.24143125586314e-222	TRUE
HDGF	1.96761015637883	0.0621437114486508	31.662256896334	5.14256947116835e-220	6.46432759402513e-218	TRUE
TK1	3.6529139545947	0.117486613731639	31.0921715978521	3.07311958076912e-212	3.53881539416259e-210	TRUE
TOP2A	3.92534093446097	0.126287906576526	31.0824768647373	4.15531284969945e-212	4.75177338166673e-210	TRUE
FEN1	2.2551939847833	0.0730709168697339	30.8630859087715	3.73911608890373e-209	4.16027193486336e-207	TRUE
UHRF1	3.83543017665333	0.124381104854596	30.8361159931568	8.59974704243086e-209	9.37828043362311e-207	TRUE
BLM	2.92730043795997	0.099634552053427	29.3803743543733	9.78348408803142e-190	9.15367229986439e-188	TRUE
RCOR2	3.85030580901507	0.133901168992544	28.7548334191874	7.88105225277492e-182	6.9399618955318e-180	TRUE
FHL1	-5.36737449492658	0.187595807074143	-28.6113777202134	4.85027559795077e-180	4.11698393151832e-178	TRUE
FANCI	2.36829093140984	0.0850445886711882	27.8476381438738	1.15046456340598e-170	9.10802882961839e-169	TRUE
PCNA	1.85461779267645	0.0668576270353928	27.739808828313	2.31272982531103e-169	1.787968170582e-167	TRUE
ZBTB4	-1.43019621310801	0.0518185975809937	-27.6000563479662	1.1109746511266e-167	8.39193558720261e-166	TRUE
HMGA1	2.69627484317446	0.0981046230015004	27.4836675447315	2.75228582676842e-166	2.05076428549301e-164	TRUE
CCT3	1.66148045625018	0.0616202982917253	26.9632004763159	3.99438562545948e-160	2.77533958204393e-158	TRUE
DDX39A	2.17003405242937	0.080931415369675	26.8132472726095	2.26427928006373e-158	1.55357862103373e-156	TRUE
MTHFD2	2.04381579498433	0.0764624514842583	26.7296660689083	2.12841030913597e-157	1.44828646944388e-155	TRUE
LMNB2	2.19047005738395	0.0828552215994967	26.4373206069279	5.10464131600303e-154	3.33564002185007e-152	TRUE
RCC2	1.57684956301133	0.0597822239633404	26.3765624373272	2.54542292787556e-153	1.64374428836576e-151	TRUE
ECT2	2.29864786339517	0.0872624147927567	26.3417860811477	6.37439002910646e-153	4.06849149648434e-151	TRUE
MTHFD1L	2.0823085167735	0.0799797542631927	26.0354452943324	1.96649528113421e-149	1.17327093458105e-147	TRUE
CHAF1B	2.1872058541236	0.0861285610874354	25.3946638200911	2.8884869835427e-142	1.59079314909691e-140	TRUE
PPP1R14B	2.38267352946146	0.0947291929956946	25.1524736368202	1.32782310562342e-139	7.00809714112209e-138	TRUE
PARP1	1.41596361413084	0.0571547178665195	24.7742210439691	1.70021664832408e-135	8.30785387179603e-134	TRUE
ALYREF	2.01742223313747	0.0815111743856097	24.7502535492071	3.08086144971501e-135	1.49653526526422e-133	TRUE
TCF19	2.10686889357302	0.085224846431562	24.7212987971166	6.31289446830388e-135	3.05748332969294e-133	TRUE
MRGBP	1.52539245363846	0.0627072552036745	24.3256134985331	1.05055855992142e-130	4.67555346114217e-129	TRUE
RANBP1	1.57233226247838	0.0651542070278456	24.1324748501106	1.14072169067501e-128	4.96938203183742e-127	TRUE
XPO5	1.63807024173724	0.0678808626389151	24.1315472145776	1.16659021089937e-128	5.06866517226381e-127	TRUE
RCC1	1.85184080007495	0.0768745931194907	24.0891135150012	3.25089270212121e-128	1.40137303994319e-126	TRUE
AHNAK	-2.43565321073041	0.101242148933795	-24.0576996476355	6.93422220631619e-128	2.9505384256178e-126	TRUE
TIMELESS	1.64238058574892	0.0686473803183503	23.9248836318652	1.68749204125224e-126	6.98189232243735e-125	TRUE
INCENP	1.70411543659428	0.0715704648750837	23.8103167216893	2.61138033213124e-125	1.06703721908698e-123	TRUE
BEND3	1.75200848277262	0.0738644259053938	23.7192459197694	2.28277149129636e-124	9.07980631574327e-123	TRUE
WDHD1	1.7692025845134	0.0749558799679448	23.6032528104533	3.56880909444516e-123	1.3925966672566e-121	TRUE
FANCD2	1.97122448944389	0.0835519307414308	23.5928059585392	4.56856063558313e-123	1.77849853395148e-121	TRUE
