regulator	NES_TCGA	NES_MTBRC	pval_TCGA	pval_MTBRC	NES_meta	pval_meta	FDR_meta
CENPA	3.03642295458477	3.1485995566798	0.00239403282876858	0.0016405483122456	4.37347135950663	1.22286294425522e-05	0.00064494462214811
FOXM1	3.13238337609332	2.94261692013781	0.00173393298705032	0.00325450864513003	4.29567390517532	1.7416344153413e-05	0.00064494462214811
E2F7	2.88014573681666	3.15216259403911	0.00397491385105997	0.00162066001343653	4.26548612695622	1.99467408911787e-05	0.00064494462214811
E2F2	2.97217388347685	2.3725672849697	0.00295699162202521	0.0176649453680095	3.77930272389547	0.000157268133863541	0.00381375224619086
MXD3	1.31741940735159	3.06757285656959	0.187698079158779	0.00215804846702784	3.10065776526922	0.00193091320509645	0.0374597161788712
TGIF2	2.04074974250014	2.11406900007747	0.0412757083318215	0.0345093744364124	2.93790050747759	0.00330443049805198	0.0534216263851737
DNTTIP1	1.33452155570225	1.80718915800976	0.182032987249838	0.0707327908311914	2.22152495019219	0.0263154267311876	0.364656627560742
MAZ	0.948839415801963	2.10217003719634	0.342702291552567	0.0355383834914303	2.15738947367936	0.0309753307109708	0.375575884870521
GTF2IRD1	1.24159728152866	1.4538271841023	0.214385185279953	0.145994224764709	1.90595291782377	0.0566563144521435	0.610629166873102
MLX	1.2123041396802	1.29845318117031	0.225395979835371	0.194131654679193	1.77537352748716	0.0758362320700615	0.624580356828836
PA2G4	1.86940852129595	0.629173823834148	0.0615659999453952	0.529235263804421	1.76676451959448	0.0772676730097529	0.624580356828836
AHCTF1	1.11815765210312	1.28943985456189	0.263499667181091	0.197245213385902	1.70242852333065	0.0886750668597295	0.644120474616838
PCGF6	0.74903345931792	1.59708769540091	0.453837038864335	0.110246160580604	1.6589581779869	0.097124220017442	0.644120474616838
DNMT1	2.05606634584084	0.232857589153039	0.0397761216043297	0.815871992144768	1.61851363605437	0.105551950544199	0.644120474616838
CENPX	0.925446058220247	1.23997014456123	0.354733930197619	0.214986437120918	1.531180481078	0.125724793450365	0.644120474616838
CDC5L	0.9628233612858	1.04095487208084	0.335636175010022	0.297896493083927	1.41688517680755	0.156516501037597	0.713350372182293
ZBTB9	1.5808163774601	0.339602426956195	0.113920028744952	0.734155950207851	1.35794115932092	0.174482355689134	0.735860369645476
ZNF672	1.69896733348573	0.00287107156088772	0.0893253387478559	0.997709219475778	1.20338147669216	0.228828732578166	0.904714782239833
ELK1	1.43500893670693	0.210555896738344	0.151284551003445	0.833233830007192	1.16359005261126	0.244590184545316	0.904714782239833
NKRF	1.03337995390296	0.572156807729247	0.301426123815397	0.567215746178313	1.13528593159442	0.256255534814249	0.904714782239833
GMEB2	1.25561505179133	0.31684436557826	0.209255571480114	0.751361698344222	1.11189671716268	0.266182560366283	0.904714782239833
ZNF598	1.35560333831027	0.169303668858491	0.175225409119465	0.865557790310274	1.07827208544792	0.280912350638012	0.904714782239833
ZNF207	1.11395004975745	0.30087398639489	0.265300616095716	0.763510587572711	1.00043167014904	0.317101649874091	0.904714782239833
GPBP1	0.356881510517997	1.04763146333579	0.721180511908976	0.294808435524797	0.993140648076494	0.320641417376939	0.904714782239833
ZNF830	1.05061791301341	0.328791733717983	0.293434110578809	0.742313111571052	0.975389915237904	0.32936688416541	0.904714782239833
LIN54	-0.176561798370779	1.54501484954339	0.859852603056573	0.122342671565905	0.967642432219577	0.333222977909905	0.904714782239833
GLYR1	1.00258154174377	0.324003219275588	0.316062805388369	0.745935596965952	0.938037080335525	0.348225354601546	0.912915118820269
E2F6	1.02438436317096	0.25136790314073	0.305653764735858	0.801529680759944	0.902093078623105	0.367007425292529	0.923514909876523
BPTF	0.100447985806335	1.13355488397592	0.919988675210094	0.256981306814617	0.872571797226692	0.382896518374188	0.923514909876523
ZXDC	0.77136120531747	0.433651813672677	0.440492863228329	0.664541303067552	0.852072877146006	0.394173644722076	0.923514909876523
NFXL1	0.192857675305187	1.00469117973608	0.847070432895999	0.315045576614442	0.846794916201868	0.397109442377841	0.923514909876523
NCOA3	-0.193212240888622	1.36080930660964	0.846792752519817	0.173573960074833	0.825615802864845	0.409022067835663	0.923514909876523
YBX1	1.17957654816977	-0.0986147730680303	0.238168674893068	0.921444139986059	0.764355401377888	0.444655478554072	0.932009681099241
RELA	0.757946001065317	0.284147272919322	0.448483310012224	0.77629752074672	0.73687122066343	0.461200666935707	0.932009681099241
USF2	0.155689750993104	0.770305190606097	0.876277576177621	0.441118878091781	0.654777302549236	0.512611146211512	0.944523513675027
PATZ1	0.694024530620547	0.191796792750049	0.487666825285333	0.847901383340576	0.62637026467499	0.531072108604995	0.944523513675027
THAP11	0.399259285599873	0.469348937384665	0.689702163551272	0.638820240816653	0.614198764666764	0.539083989597357	0.944523513675027
MYC	0.180949589333799	0.636867852039556	0.856407144599109	0.524210924574542	0.578284258567731	0.563072220315795	0.944523513675027
THAP12	0.0514756918415125	0.748655276841927	0.958946471266209	0.454065006010042	0.565778033793421	0.571544680703714	0.944523513675027
ZGPAT	0.552262073701901	0.21921521320993	0.580768811106953	0.826482405258333	0.545516821106755	0.585398114715247	0.944523513675027
SP2	0.385172716686612	0.278097551923916	0.700109455814371	0.78093747493069	0.469002904693927	0.639067559785041	0.944523513675027
YY1	-0.156038420582683	0.811456438604709	0.876002736874431	0.417103599286335	0.463450525055221	0.643041470063741	0.944523513675027
